,src,tgt
100,7440 715 5267 6039 5270 5883 2822 9287 1823 8310 3748 237 8714 8808 559 3240 8766 5369 9598 9904,7440 715 5267 6039 5270 5883 2822 9287 1823 8310 3748 237 8714 8808 559 3240 8766 5369 9598 9904
101,7841 2966 5555 6473 7422 1238 8053 5327 1460 3742 3570 8205 5961 131 3848 974 7072 7377 1873 6301,7841 2966 5555 6473 7422 1238 8053 5327 1460 3742 3570 8205 5961 131 3848 974 7072 7377 1873 6301
102,7867 4068 6638 8025 9139 5540 1194 5358 8561 6862 9458 5987 5034 5717 1335 8485 3692 4917 1507 1031,7867 4068 6638 8025 9139 5540 1194 5358 8561 6862 9458 5987 5034 5717 1335 8485 3692 4917 1507 1031
103,9987 5136 9169 458 8671 2475 9192 8888 1200 9210 6835 4386 6979 9278 4598 6093 9211 621 7963 9267,9987 5136 9169 458 8671 2475 9192 8888 1200 9210 6835 4386 6979 9278 4598 6093 9211 621 7963 9267
104,6889 9932 6409 4438 9088 2519 2271 6630 675 8983 3578 5238 873 1479 3923 9522 9018 520 1009 6012,6889 9932 6409 4438 9088 2519 2271 6630 675 8983 3578 5238 873 1479 3923 9522 9018 520 1009 6012
105,6522 6709 5535 1679 9635 9328 3411 3602 9401 1687 2606 642 457 3041 2247 3096 6370 3050 3103 7021,6522 6709 5535 1679 9635 9328 3411 3602 9401 1687 2606 642 457 3041 2247 3096 6370 3050 3103 7021
106,247 5178 7485 7346 9609 1551 6953 1164 5067 3228 1760 7082 9513 7346 1877 8753 7735 2756 2891 8789,247 5178 7485 7346 9609 1551 6953 1164 5067 3228 1760 7082 9513 7346 1877 8753 7735 2756 2891 8789
107,5739 6885 5576 7265 5609 5766 7058 5707 1928 8400 6760 1538 8402 2169 3915 6323 1381 1169 4441 293,5739 6885 5576 7265 5609 5766 7058 5707 1928 8400 6760 1538 8402 2169 3915 6323 1381 1169 4441 293
108,4456 3804 3129 7153 5486 3028 2698 7640 6476 8871 9354 9615 1574 6031 1750 7855 1700 8210 596 873,4456 3804 3129 7153 5486 3028 2698 7640 6476 8871 9354 9615 1574 6031 1750 7855 1700 8210 596 873
109,5638 1374 7666 5324 3587 9524 5200 6929 9405 520 2406 4231 2193 3695 2993 5062 109 7506 9554 501,5638 1374 7666 5324 3587 9524 5200 6929 9405 520 2406 4231 2193 3695 2993 5062 109 7506 9554 501
110,2846 8919 3729 7845 2303 4915 8501 319 3398 2518 2221 5979 7940 8906 6432 1424 9701 6629 2525 3655,2846 8919 3729 7845 2303 4915 8501 319 3398 2518 2221 5979 7940 8906 6432 1424 9701 6629 2525 3655
111,8218 4662 8457 4990 4859 6169 9692 2500 5477 8888 5466 3386 9279 1520 4037 1804 8199 9925 5864 3350,8218 4662 8457 4990 4859 6169 9692 2500 5477 8888 5466 3386 9279 1520 4037 1804 8199 9925 5864 3350
112,865 7195 8494 5789 2871 8391 2041 1680 1088 8234 1718 4619 7297 6965 2072 8012 8683 1501 7259 9229,865 7195 8494 5789 2871 8391 2041 1680 1088 8234 1718 4619 7297 6965 2072 8012 8683 1501 7259 9229
113,632 8016 2038 6535 5957 4215 2615 2116 8260 238 4331 2375 3629 8172 4716 5973 7019 1147 5078 5135,632 8016 2038 6535 5957 4215 2615 2116 8260 238 4331 2375 3629 8172 4716 5973 7019 1147 5078 5135
114,201 9701 6736 6866 9382 5461 6788 2141 153 8626 3417 6311 13 5031 7686 2318 4828 1965 6971 6949,201 9701 6736 6866 9382 5461 6788 2141 153 8626 3417 6311 13 5031 7686 2318 4828 1965 6971 6949
115,7080 8218 9499 4846 9201 3878 8443 3671 9851 181 5237 8762 6817 458 879 4732 8882 9608 5540 5446,7080 8218 9499 4846 9201 3878 8443 3671 9851 181 5237 8762 6817 458 879 4732 8882 9608 5540 5446
116,5793 4063 2682 4270 2187 2238 1436 5232 1976 79 3975 6048 5577 3992 7231 1075 1414 1046 1754 3591,5793 4063 2682 4270 2187 2238 1436 5232 1976 79 3975 6048 5577 3992 7231 1075 1414 1046 1754 3591
117,5045 5530 2582 221 4774 2576 8861 5121 4139 7368 9077 353 4582 605 5022 2165 5819 9577 5482 6533,5045 5530 2582 221 4774 2576 8861 5121 4139 7368 9077 353 4582 605 5022 2165 5819 9577 5482 6533
118,9360 2405 1495 8235 3179 9914 2741 3494 7151 5528 897 4507 9673 4840 1194 4590 1947 57 315 4826,9360 2405 1495 8235 3179 9914 2741 3494 7151 5528 897 4507 9673 4840 1194 4590 1947 57 315 4826
119,7950 5314 6034 6251 6964 9137 5123 9797 7298 4609 3516 1674 8456 1273 4199 8328 1611 6184 8566 7255,7950 5314 6034 6251 6964 9137 5123 9797 7298 4609 3516 1674 8456 1273 4199 8328 1611 6184 8566 7255
120,6190 8172 478 827 8448 6246 9683 5873 7166 5934 9996 4310 2127 1369 9051 2446 2385 9900 7574 1374,6190 8172 478 827 8448 6246 9683 5873 7166 5934 9996 4310 2127 1369 9051 2446 2385 9900 7574 1374
121,4364 51 4743 4548 7019 8163 3404 1841 8250 2194 6292 5480 4613 4256 3711 7459 9726 737 837 8053,4364 51 4743 4548 7019 8163 3404 1841 8250 2194 6292 5480 4613 4256 3711 7459 9726 737 837 8053
122,332 1474 3906 6483 3716 7732 3691 1801 2297 1686 229 8066 3634 9355 2324 4038 547 4638 8165 7702,332 1474 3906 6483 3716 7732 3691 1801 2297 1686 229 8066 3634 9355 2324 4038 547 4638 8165 7702
123,2972 8970 9682 3727 7560 396 1307 7538 2438 321 1886 916 3564 5165 4226 8137 305 102 3970 5758,2972 8970 9682 3727 7560 396 1307 7538 2438 321 1886 916 3564 5165 4226 8137 305 102 3970 5758
124,5001 6241 6755 8869 7464 6949 9481 7271 5909 2399 6533 8156 7448 7384 3801 8728 4594 9475 3764 8964,5001 6241 6755 8869 7464 6949 9481 7271 5909 2399 6533 8156 7448 7384 3801 8728 4594 9475 3764 8964
125,3347 3318 1549 4263 6391 133 3285 1124 5701 6821 8235 6027 5986 8373 5929 2105 5663 4588 7289 2901,3347 3318 1549 4263 6391 133 3285 1124 5701 6821 8235 6027 5986 8373 5929 2105 5663 4588 7289 2901
126,6093 2091 8785 1596 2467 6889 3173 7762 3283 6431 9992 4647 9261 8840 3841 1513 9880 9490 9170 3668,6093 2091 8785 1596 2467 6889 3173 7762 3283 6431 9992 4647 9261 8840 3841 1513 9880 9490 9170 3668
127,8702 1587 8594 5074 299 4302 5545 9039 2602 5121 1234 371 6904 1007 1291 5020 1334 1387 4509 2635,8702 1587 8594 5074 299 4302 5545 9039 2602 5121 1234 371 6904 1007 1291 5020 1334 1387 4509 2635
128,4943 4760 8890 3102 7522 7663 2925 1217 2984 6704 8357 8808 2961 1085 3401 6120 410 124 8301 2381,4943 4760 8890 3102 7522 7663 2925 1217 2984 6704 8357 8808 2961 1085 3401 6120 410 124 8301 2381
129,4059 9548 3076 9824 9826 870 8946 1750 6173 532 416 544 8828 9445 4208 8500 8933 1055 7692 9842,4059 9548 3076 9824 9826 870 8946 1750 6173 532 416 544 8828 9445 4208 8500 8933 1055 7692 9842
130,3158 2595 6576 1018 8944 320 9331 5404 6875 8684 1544 1011 6389 1769 4194 964 1511 1655 8891 4091,3158 2595 6576 1018 8944 320 9331 5404 6875 8684 1544 1011 6389 1769 4194 964 1511 1655 8891 4091
131,516 1282 252 9664 6609 2376 3221 9512 6808 390 3491 7155 5103 6853 1451 3276 5573 1710 1021 8317,516 1282 252 9664 6609 2376 3221 9512 6808 390 3491 7155 5103 6853 1451 3276 5573 1710 1021 8317
132,4436 551 2033 200 2299 3473 7570 4711 5066 6395 6668 6846 221 7015 2805 8518 1120 6005 8313 4591,4436 551 2033 200 2299 3473 7570 4711 5066 6395 6668 6846 221 7015 2805 8518 1120 6005 8313 4591
133,9896 5071 2976 5745 4752 6363 487 960 843 987 7220 6789 9798 4483 8778 4219 9232 3814 6816 5321,9896 5071 2976 5745 4752 6363 487 960 843 987 7220 6789 9798 4483 8778 4219 9232 3814 6816 5321
134,9381 3438 707 7057 6702 4881 9835 3942 6293 7941 386 7415 8413 4419 9354 8216 6608 2439 5013 9873,9381 3438 707 7057 6702 4881 9835 3942 6293 7941 386 7415 8413 4419 9354 8216 6608 2439 5013 9873
135,9609 9338 623 201 8513 9049 4348 4054 70 7375 5284 9338 5918 4652 6321 4936 3474 5886 5437 8099,9609 9338 623 201 8513 9049 4348 4054 70 7375 5284 9338 5918 4652 6321 4936 3474 5886 5437 8099
136,7662 1872 6638 197 8760 1183 2716 3255 9317 2393 4769 1820 8015 9203 3839 430 6814 1697 217 4461,7662 1872 6638 197 8760 1183 2716 3255 9317 2393 4769 1820 8015 9203 3839 430 6814 1697 217 4461
137,4389 9473 6807 5475 609 6988 5015 591 5554 8256 317 3917 5258 7030 8000 1727 6671 5686 8120 6565,4389 9473 6807 5475 609 6988 5015 591 5554 8256 317 3917 5258 7030 8000 1727 6671 5686 8120 6565
138,659 939 4856 7821 4336 5113 5681 1484 3691 40 9612 1903 2672 1049 6267 4620 2394 1017 1459 3545,659 939 4856 7821 4336 5113 5681 1484 3691 40 9612 1903 2672 1049 6267 4620 2394 1017 1459 3545
139,8169 9134 9194 370 4684 8367 5589 8320 4596 6939 3773 8509 8139 2192 2129 2282 9924 6351 2766 1041,8169 9134 9194 370 4684 8367 5589 8320 4596 6939 3773 8509 8139 2192 2129 2282 9924 6351 2766 1041
140,9290 9793 5206 5129 6708 5079 2589 8620 8501 6444 2970 8680 4370 5520 883 1524 4543 5150 46 3346,9290 9793 5206 5129 6708 5079 2589 8620 8501 6444 2970 8680 4370 5520 883 1524 4543 5150 46 3346
141,7790 4064 5801 9476 4797 4080 8874 3013 3904 8856 1818 9290 4454 9975 1982 3377 4906 5549 8200 9956,7790 4064 5801 9476 4797 4080 8874 3013 3904 8856 1818 9290 4454 9975 1982 3377 4906 5549 8200 9956
142,1943 8158 1269 8963 6217 5123 915 5895 9571 7394 8767 4644 9188 9160 798 1076 1417 9739 5416 4819,1943 8158 1269 8963 6217 5123 915 5895 9571 7394 8767 4644 9188 9160 798 1076 1417 9739 5416 4819
143,2512 9665 2292 9066 7075 3283 7648 8018 1365 5429 296 7835 969 4945 2675 7818 9645 570 4702 5361,2512 9665 2292 9066 7075 3283 7648 8018 1365 5429 296 7835 969 4945 2675 7818 9645 570 4702 5361
144,3077 2271 1682 3156 8102 3648 2536 3905 9458 5723 2050 4348 4589 706 188 5296 8461 3326 2847 2363,3077 2271 1682 3156 8102 3648 2536 3905 9458 5723 2050 4348 4589 706 188 5296 8461 3326 2847 2363
145,5342 6790 1592 5406 1632 6790 2181 7787 437 3306 3181 4739 8588 9251 3073 254 971 4291 1419 2452,5342 6790 1592 5406 1632 6790 2181 7787 437 3306 3181 4739 8588 9251 3073 254 971 4291 1419 2452
146,9950 3886 5056 9896 3663 4013 7194 2561 2493 9566 2599 4752 5538 8543 9716 3775 6703 1129 7369 7110,9950 3886 5056 9896 3663 4013 7194 2561 2493 9566 2599 4752 5538 8543 9716 3775 6703 1129 7369 7110
147,6004 5819 7109 5112 6062 9619 2684 9994 1471 8061 1313 4962 8702 9847 2501 9819 9059 5371 5486 3913,6004 5819 7109 5112 6062 9619 2684 9994 1471 8061 1313 4962 8702 9847 2501 9819 9059 5371 5486 3913
148,1933 716 8552 4870 1445 4037 2570 8144 1136 6829 1089 8221 9291 9188 3604 4787 4263 8562 3817 7035,1933 716 8552 4870 1445 4037 2570 8144 1136 6829 1089 8221 9291 9188 3604 4787 4263 8562 3817 7035
149,3528 2828 8501 9768 3433 1338 5784 3851 1700 8758 2945 2048 7581 2436 1794 883 4451 8862 5788 9996,3528 2828 8501 9768 3433 1338 5784 3851 1700 8758 2945 2048 7581 2436 1794 883 4451 8862 5788 9996
150,8 7602 2815 2884 1463 1262 5289 4922 6396 5291 8821 4758 2421 8668 4743 4603 2319 7129 444 7189,8 7602 2815 2884 1463 1262 5289 4922 6396 5291 8821 4758 2421 8668 4743 4603 2319 7129 444 7189
151,2534 802 3716 7940 2203 1688 7792 1505 4512 3274 7361 8808 7721 638 8734 6850 3878 304 3925 5856,2534 802 3716 7940 2203 1688 7792 1505 4512 3274 7361 8808 7721 638 8734 6850 3878 304 3925 5856
152,752 1704 9781 7262 7516 906 564 3800 1681 6149 3938 4366 7700 2208 1964 4465 3439 2082 1476 1764,752 1704 9781 7262 7516 906 564 3800 1681 6149 3938 4366 7700 2208 1964 4465 3439 2082 1476 1764
153,5988 3836 5049 4519 2887 6759 4992 6485 6394 5243 3744 8335 5030 4627 3301 4579 4052 5258 5802 4716,5988 3836 5049 4519 2887 6759 4992 6485 6394 5243 3744 8335 5030 4627 3301 4579 4052 5258 5802 4716
154,367 8940 4064 9134 9935 8554 4341 6442 4592 3702 4773 5727 5760 8462 3751 4728 4785 7072 1429 2163,367 8940 4064 9134 9935 8554 4341 6442 4592 3702 4773 5727 5760 8462 3751 4728 4785 7072 1429 2163
155,8539 6957 2784 2140 6028 3111 2161 3551 5489 4779 5967 3620 6046 8016 5795 7047 8544 2677 2923 3499,8539 6957 2784 2140 6028 3111 2161 3551 5489 4779 5967 3620 6046 8016 5795 7047 8544 2677 2923 3499
156,3222 8048 2463 2600 5563 1574 1022 3970 2156 135 1688 7894 5014 9295 5740 348 7496 6992 107 7323,3222 8048 2463 2600 5563 1574 1022 3970 2156 135 1688 7894 5014 9295 5740 348 7496 6992 107 7323
157,8482 8199 3714 6407 323 1025 3380 1535 9621 6738 9852 7082 4583 5219 9546 9640 3422 9998 8904 2739,8482 8199 3714 6407 323 1025 3380 1535 9621 6738 9852 7082 4583 5219 9546 9640 3422 9998 8904 2739
158,9606 4897 3808 1752 6068 192 1756 2157 3737 6624 9096 1570 8266 7051 4918 1885 418 2660 1139 5773,9606 4897 3808 1752 6068 192 1756 2157 3737 6624 9096 1570 8266 7051 4918 1885 418 2660 1139 5773
159,9310 1718 264 7848 612 3157 9274 2832 1377 2044 4596 5285 6011 1526 1381 5411 1102 2144 6223 5367,9310 1718 264 7848 612 3157 9274 2832 1377 2044 4596 5285 6011 1526 1381 5411 1102 2144 6223 5367
160,6466 4241 9060 9141 5709 2451 4145 8682 8104 9009 7997 8247 1957 1964 9340 3777 5362 6696 2690 755,6466 4241 9060 9141 5709 2451 4145 8682 8104 9009 7997 8247 1957 1964 9340 3777 5362 6696 2690 755
161,2714 8861 6371 4212 4969 4409 4573 7374 192 9385 3518 6211 7460 9044 704 9503 5912 7497 2100 1219,2714 8861 6371 4212 4969 4409 4573 7374 192 9385 3518 6211 7460 9044 704 9503 5912 7497 2100 1219
162,4650 6005 4988 50 7521 9399 6800 5559 1651 8081 8860 8126 2752 8209 9451 3826 1674 5626 5894 4148,4650 6005 4988 50 7521 9399 6800 5559 1651 8081 8860 8126 2752 8209 9451 3826 1674 5626 5894 4148
163,6244 5016 614 4213 9585 8437 5287 644 7271 6630 4880 3183 3280 5807 608 9195 7428 1610 5534 1456,6244 5016 614 4213 9585 8437 5287 644 7271 6630 4880 3183 3280 5807 608 9195 7428 1610 5534 1456
164,2981 5315 4725 9359 7866 9234 3242 3084 8504 2781 811 1844 7441 6382 9758 1496 9398 4657 3737 2511,2981 5315 4725 9359 7866 9234 3242 3084 8504 2781 811 1844 7441 6382 9758 1496 9398 4657 3737 2511
165,3878 6649 8712 6715 6066 1352 192 3632 6357 46 6004 2119 7392 7943 3184 7364 9890 739 6855 8509,3878 6649 8712 6715 6066 1352 192 3632 6357 46 6004 2119 7392 7943 3184 7364 9890 739 6855 8509
166,9615 7296 3875 3482 3281 6334 1424 7053 3014 6200 9612 8599 2889 491 2094 8760 6522 2742 5301 8254,9615 7296 3875 3482 3281 6334 1424 7053 3014 6200 9612 8599 2889 491 2094 8760 6522 2742 5301 8254
